time,name,code,holder,shares,pct,source,key
,贵州茅台,600519,中国贵州茅台酒厂(集团)有限责任公司,679211576,54.068839795771,十大流通股东,
,贵州茅台,600519,香港中央结算有限公司,86831284,6.912230223616,十大流通股东,
,贵州茅台,600519,贵州省国有资本运营有限责任公司,56996777,4.537245408327,十大流通股东,
,贵州茅台,600519,贵州茅台酒厂(集团)技术开发有限公司,27849688,2.21698270766,十大流通股东,
,贵州茅台,600519,中国工商银行-上证50交易型开放式指数证券投资基金,12673800,1.008901623614,十大流通股东,
,贵州茅台,600519,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,11872200,0.945090016875,十大流通股东,
,贵州茅台,600519,中央汇金资产管理有限责任公司,10397104,0.82766456047,十大流通股东,
,贵州茅台,600519,中国证券金融股份有限公司,8039447,0.639982572808,十大流通股东,
,贵州茅台,600519,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,7940090,0.632073229232,十大流通股东,
,贵州茅台,600519,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪,5472260,0.435620887093,十大流通股东,
,000001,000001,中国平安保险(集团)股份有限公司-集团本级-自有资金,9618540236,49.565751886646,十大流通股东,
,000001,000001,中国平安人寿保险股份有限公司-自有资金,1186100488,6.112150186865,十大流通股东,
,000001,000001,香港中央结算有限公司,851414551,4.387464350318,十大流通股东,
,000001,000001,中国平安人寿保险股份有限公司-传统-普通保险产品,440478714,2.269851569343,十大流通股东,
,000001,000001,中国证券金融股份有限公司,429232688,2.211899144053,十大流通股东,
,000001,000001,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,185360838,0.955191648668,十大流通股东,
,000001,000001,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,123146496,0.634591998025,十大流通股东,
,000001,000001,中国工商银行股份有限公司-华夏沪深300交易型开放式指数证券投资基金,78266877,0.40332072343,十大流通股东,
,000001,000001,中国银行股份有限公司-嘉实沪深300交易型开放式指数证券投资基金,76478723,0.394106102986,十大流通股东,
,000001,000001,深圳中电投资有限公司,62523366,0.322192096746,十大流通股东,
